variable_name,units,value,data_reference
A_0_inlet,m3_per_s,0.0001,to_be_set
A_1_inlet,m3_per_s,1.73e-4,user_defined
A_2_inlet,m3_per_s,9.06e-5,user_defined
A_3_inlet,m3_per_s,5.13e-5,user_defined
A_4_inlet,m3_per_s,9.16e-6,user_defined
A_5_inlet,m3_per_s,9.50e-6,user_defined
A_6_inlet,m3_per_s,1.42e-5,user_defined
A_7_inlet,m3_per_s,7.33e-7,user_defined
A_8_inlet,m3_per_s,5.00e-6,user_defined
C_pcap,m6_per_J,3e-8,to_be_identified
C_pvn,m6_per_J,6e-8,to_be_identified
I_par,Js2_per_m6,1,to_be_identified
I_pcap,Js2_per_m6,1,to_be_identified
I_pvn,Js2_per_m6,1,to_be_identified
M_CO2_anterior_cerebral_L_GE,m3_per_s,1.4-07,to_be_set
M_CO2_anterior_cerebral_R_GE,m3_per_s,1.4-07,to_be_set
M_CO2_arm_L_GE,m3_per_s,1.0-07,to_be_set
M_CO2_arm_R_GE,m3_per_s,1.0-07,to_be_set
M_CO2_external_carotid_L_GE,m3_per_s,2.4-07,to_be_set
M_CO2_external_carotid_R_GE,m3_per_s,2.4-07,to_be_set
M_CO2_leg_L_GE,m3_per_s,4.8-07,to_be_set
M_CO2_leg_R_GE,m3_per_s,4.8-07,to_be_set
M_CO2_middle_cerebral_L_GE,m3_per_s,2.168e-07,to_be_set
M_CO2_middle_cerebral_R_GE,m3_per_s,2.168e-07,to_be_set
M_CO2_posterior_cerebral_L_GE,m3_per_s,4.98e-08,to_be_set
M_CO2_posterior_cerebral_R_GE,m3_per_s,4.98e-08,to_be_set
M_CO2_trunk_C_GE,m3_per_s,2.4679e-06,to_be_set
M_O2_anterior_cerebral_L_GE,m3_per_s,-1.824e-07,to_be_set
M_O2_anterior_cerebral_R_GE,m3_per_s,-1.824e-07,to_be_set
M_O2_arm_L_GE,m3_per_s,-1.366e-07,to_be_set
M_O2_arm_R_GE,m3_per_s,-1.366e-07,to_be_set
M_O2_external_carotid_L_GE,m3_per_s,-3.228e-07,to_be_set
M_O2_external_carotid_R_GE,m3_per_s,-3.228e-07,to_be_set
M_O2_leg_L_GE,m3_per_s,-6.435e-07,to_be_set
M_O2_leg_R_GE,m3_per_s,-6.435e-07,to_be_set
M_O2_middle_cerebral_L_GE,m3_per_s,-2.89e-07,to_be_set
M_O2_middle_cerebral_R_GE,m3_per_s,-2.89e-07,to_be_set
M_O2_posterior_cerebral_L_GE,m3_per_s,-6.64e-08,to_be_set
M_O2_posterior_cerebral_R_GE,m3_per_s,-6.64e-08,to_be_set
M_O2_trunk_C_GE,m3_per_s,-3.2905e-06,to_be_set
R_par,Js_per_m6,20545762.11994372,to_be_set
K_tube_par,J_per_m3,1e5,to_be_set  
q_init_par,m3,200e-6,to_be_set  
q_0_par,m3,200e-6,to_be_set  
u_0_par,J_per_m3,0,to_be_set  
m_tube_par,dimensionless,0.5,to_be_set  
n_tube_par,dimensionless,0.0,to_be_set  
R_pcap,Js_per_m6,133e4,calc_from_assumed_P_drop_1mmHg
q_0_pcap,m3,50e-6,user_defined
u_0_pcap,J_per_m3,0,user_defined
R_pvn,Js_per_m6,1334,calc_from_assumed_P_drop_1mmHg
q_C_init_pvn,m3,1e-4,user_defined
q_us_0_pvn,m3,0,user_defined
Delta_q_us_pvn,dimensionless,0,user_defined
Delta_C_pvn,dimensionless,0,user_defined
R_T_anterior_cerebral_L_T,Js_per_m6,5058076991.994538,to_be_set
R_T_anterior_cerebral_R_T,Js_per_m6,5058076991.994538,to_be_set
R_T_arm_L_T,Js_per_m6,5064611975.18833,to_be_set
R_T_arm_R_T,Js_per_m6,5064611975.18833,to_be_set
R_T_external_carotid_L_T,Js_per_m6,2858608378.032354,to_be_set
R_T_external_carotid_R_T,Js_per_m6,2858608378.032354,to_be_set
R_T_leg_L_T,Js_per_m6,1075300965.2436612,to_be_set
R_T_leg_R_T,Js_per_m6,1075300965.2436612,to_be_set
R_T_middle_cerebral_L_T,Js_per_m6,3192190284.035641,to_be_set
R_T_middle_cerebral_R_T,Js_per_m6,3192190284.035641,to_be_set
R_T_posterior_cerebral_L_T,Js_per_m6,13900743506.367966,to_be_set
R_T_posterior_cerebral_R_T,Js_per_m6,13900743506.367966,to_be_set
R_T_trunk_C_T,Js_per_m6,210300947.89676863,to_be_set
T,second,0.6611111111,to_be_set
T_ac,second,0.075,to_be_set
T_ar,second,0.075,to_be_set
T_vc,second,0.2666666667,to_be_set
T_vr,second,0.1322222222,to_be_set
phi_0_inlet,dimensionless,0.0,user_defined
phi_1_inlet,dimensionless,-1.95,user_defined
phi_2_inlet,dimensionless,-2.55,user_defined
phi_3_inlet,dimensionless,2.94,user_defined
phi_4_inlet,dimensionless,1.82,user_defined
phi_5_inlet,dimensionless,-1.33,user_defined
phi_6_inlet,dimensionless,-2.42,user_defined
phi_7_inlet,dimensionless,2.98,user_defined
phi_8_inlet,dimensionless,-1.12,user_defined
t_astart,second,0.5111111111,to_be_set
u_ext_par,J_per_m3,0.0,ABI_lung_group
u_ext_pcap,J_per_m3,0.0,ABI_lung_group
u_ext_pvn,J_per_m3,0.0,ABI_lung_group
u_out_pvn,J_per_m3,1600,to_be_set
